NU_INSCRICAO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q025
1,90E+11;3557006;Votorantim;35;SP;18;F;1;1;2;;;;;2;0;2;1;0;35016202;3552205;Sorocaba;35;SP;2;1;1;0;1;1;0;;3565;4459;;1;1;80;60;60;100;40;340;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;17;M;1;1;1;3548708;São Bernardo do Campo;35;SP;2;0;2;1;0;;;;;;;;;1;1;1;1;5653;6299;6242;691;0;1;140;200;160;160;180;840;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;18;F;1;2;1;3548708;São Bernardo do Campo;35;SP;2;0;2;1;0;;;;;;;;;1;1;1;1;3868;4289;4349;4401;0;1;120;140;100;120;120;600;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;17;F;1;3;1;3548708;São Bernardo do Campo;35;SP;2;0;2;1;0;35008758;3548708;São Bernardo do Campo;35;SP;2;1;1;1;1;1;1;5284;5849;5556;6164;0;1;160;120;120;120;100;620;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;23;M;1;1;1;3548708;São Bernardo do Campo;35;SP;1;6;1;1;0;;;;;;;;;0;0;0;0;;;;;1;;;;;;;;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;20;F;1;4;1;3548708;São Bernardo do Campo;35;SP;1;2;1;;0;;;;;;;;;0;0;0;0;;;;;1;;;;;;;;A
1,90E+11;3548708;São Bernardo do Campo;35;SP;26;F;0;2;1;3143302;Montes Claros;31;MG;1;9;1;1;0;;;;;;;;;0;0;0;0;;;;;1;;;;;;;;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;17;F;1;3;1;3547809;Santo André;35;SP;2;0;2;1;0;35008825;3548708;São Bernardo do Campo;35;SP;2;1;1;1;1;1;1;3981;4812;539;4748;0;1;120;120;100;120;80;540;B
1,90E+11;3548708;São Bernardo do Campo;35;SP;22;M;1;3;1;3548708;São Bernardo do Campo;35;SP;1;4;1;1;0;;;;;;;;;1;1;1;1;5638;6083;5815;6263;0;1;160;160;160;180;120;780;B
1,90E+11;3504107;Atibaia;35;SP;31;F;1;3;1;3504107;Atibaia;35;SP;1;12;1;1;0;;;;;;;;;0;0;0;0;;;;;1;;;;;;;;B
